[INFO] [1774868862.425055742] [table_height_estimator]: Table Height Lifecycle Node Initialized (Unconfigured).
[INFO] [1774868922.101718896] [table_height_estimator]: Configuring: lightweight geometric mode (no heavy models)
[INFO] [1774868922.155207080] [table_height_estimator]: Configuration complete.
[INFO] [1774868941.351578889] [table_height_estimator]: returned 10
[INFO] [1774868941.511340142] [table_height_estimator]: returned 10
[INFO] [1774868942.219456042] [table_height_estimator]: returned 10
[INFO] [1774868942.386995377] [table_height_estimator]: returned 10
[INFO] [1774868942.538818604] [table_height_estimator]: returned 10
[INFO] [1774868942.759974724] [table_height_estimator]: returned 10
[INFO] [1774868942.957060038] [table_height_estimator]: returned 10
[INFO] [1774868943.141303853] [table_height_estimator]: returned 10
[INFO] [1774868943.332640343] [table_height_estimator]: returned 10
[INFO] [1774868943.481535782] [table_height_estimator]: returned 10
[INFO] [1774868943.655387067] [table_height_estimator]: returned 10
[INFO] [1774868943.813191460] [table_height_estimator]: returned 10
[INFO] [1774868943.980267623] [table_height_estimator]: returned 10
[INFO] [1774868944.171090987] [table_height_estimator]: returned 10
[INFO] [1774868944.342032471] [table_height_estimator]: returned 10
[INFO] [1774868944.529346030] [table_height_estimator]: returned 10
[INFO] [1774868944.677831329] [table_height_estimator]: returned 10
[INFO] [1774868944.842823560] [table_height_estimator]: returned 10
[INFO] [1774868945.012111274] [table_height_estimator]: returned 10
[INFO] [1774868945.248539918] [table_height_estimator]: returned 10
[INFO] [1774868945.451472781] [table_height_estimator]: returned 10
[INFO] [1774868945.624968766] [table_height_estimator]: returned 10
[INFO] [1774868945.828316810] [table_height_estimator]: returned 10
[INFO] [1774868946.017007068] [table_height_estimator]: returned 10
[INFO] [1774868946.235974587] [table_height_estimator]: returned 10
[INFO] [1774868946.409640693] [table_height_estimator]: returned 10
[INFO] [1774868946.535298739] [table_height_estimator]: returned 10
[INFO] [1774868946.653890589] [table_height_estimator]: returned 10
[INFO] [1774868946.825256113] [table_height_estimator]: returned 10
[INFO] [1774868947.013122434] [table_height_estimator]: returned 10
[INFO] [1774868947.171824309] [table_height_estimator]: returned 10
[INFO] [1774868947.329828068] [table_height_estimator]: returned 10
[INFO] [1774868947.684497022] [table_height_estimator]: returned 10
[INFO] [1774868947.859342582] [table_height_estimator]: returned 10
[INFO] [1774868948.021362491] [table_height_estimator]: returned 10
[INFO] [1774868948.211791968] [table_height_estimator]: returned 10
[INFO] [1774868948.909900651] [table_height_estimator]: returned 10
[INFO] [1774868949.096322817] [table_height_estimator]: returned 10
[INFO] [1774868949.235716145] [table_height_estimator]: returned 10
[INFO] [1774868949.453965911] [table_height_estimator]: returned 10
[INFO] [1774868949.654429660] [table_height_estimator]: returned 10
[INFO] [1774868949.842461290] [table_height_estimator]: returned 10
[INFO] [1774868949.993194077] [table_height_estimator]: returned 10
[INFO] [1774868950.173191120] [table_height_estimator]: returned 10
[INFO] [1774868950.349843209] [table_height_estimator]: returned 10
[INFO] [1774868950.513765373] [table_height_estimator]: returned 10
[INFO] [1774868950.671974071] [table_height_estimator]: returned 10
[INFO] [1774868950.851344356] [table_height_estimator]: returned 10
[INFO] [1774868951.023544366] [table_height_estimator]: returned 10
[INFO] [1774868951.231543495] [table_height_estimator]: returned 10
[INFO] [1774868951.357155471] [table_height_estimator]: returned 10
[INFO] [1774868951.545019689] [table_height_estimator]: returned 10
[INFO] [1774868951.708472304] [table_height_estimator]: returned 10
[INFO] [1774868951.961929219] [table_height_estimator]: returned 10
[INFO] [1774868952.161125249] [table_height_estimator]: returned 10
[INFO] [1774868952.322985693] [table_height_estimator]: returned 10
[INFO] [1774868952.495266594] [table_height_estimator]: returned 10
[INFO] [1774868952.693125444] [table_height_estimator]: returned 10
[INFO] [1774868952.909225400] [table_height_estimator]: returned 10
[INFO] [1774868953.095609896] [table_height_estimator]: returned 10
[INFO] [1774868953.197096929] [table_height_estimator]: returned 10
[INFO] [1774868953.336104868] [table_height_estimator]: returned 10
[INFO] [1774868953.528188302] [table_height_estimator]: returned 10
[INFO] [1774868953.699399297] [table_height_estimator]: returned 10
[INFO] [1774868953.873130600] [table_height_estimator]: returned 10
[INFO] [1774868954.032082887] [table_height_estimator]: returned 10
[INFO] [1774868954.394809704] [table_height_estimator]: returned 10
[INFO] [1774868954.547378922] [table_height_estimator]: returned 10
[INFO] [1774868954.752925397] [table_height_estimator]: returned 10
[INFO] [1774868954.937823277] [table_height_estimator]: returned 10
[INFO] [1774868955.719293360] [table_height_estimator]: returned 10
[INFO] [1774868955.882227702] [table_height_estimator]: returned 10
[INFO] [1774868956.020377898] [table_height_estimator]: returned 10
[INFO] [1774868956.159299635] [table_height_estimator]: returned 10
[INFO] [1774868956.354403310] [table_height_estimator]: returned 10
[INFO] [1774868956.515066738] [table_height_estimator]: returned 10
[INFO] [1774868956.694798957] [table_height_estimator]: returned 10
[INFO] [1774868956.859857986] [table_height_estimator]: returned 10
[INFO] [1774868957.035943582] [table_height_estimator]: returned 10
[INFO] [1774868957.216295511] [table_height_estimator]: returned 10
[INFO] [1774868957.355375703] [table_height_estimator]: returned 10
[INFO] [1774868957.533643906] [table_height_estimator]: returned 10
[INFO] [1774868957.721933524] [table_height_estimator]: returned 10
[INFO] [1774868957.899624301] [table_height_estimator]: returned 10
[INFO] [1774868958.044581545] [table_height_estimator]: returned 10
[INFO] [1774868958.234269032] [table_height_estimator]: returned 10
[INFO] [1774868958.395579527] [table_height_estimator]: returned 10
[INFO] [1774868958.648416556] [table_height_estimator]: returned 10
[INFO] [1774868958.867971730] [table_height_estimator]: returned 10
[INFO] [1774868959.003404229] [table_height_estimator]: returned 10
[INFO] [1774868959.202987698] [table_height_estimator]: returned 10
[INFO] [1774868959.377823206] [table_height_estimator]: returned 10
[INFO] [1774868959.599631600] [table_height_estimator]: returned 10
[INFO] [1774868959.755401721] [table_height_estimator]: returned 10
[INFO] [1774868959.862731362] [table_height_estimator]: returned 10
[INFO] [1774868960.035850192] [table_height_estimator]: returned 10
[INFO] [1774868960.225804815] [table_height_estimator]: returned 10
[INFO] [1774868960.393501822] [table_height_estimator]: returned 10
[INFO] [1774868960.577587217] [table_height_estimator]: returned 10
[INFO] [1774868960.730617498] [table_height_estimator]: returned 10
[INFO] [1774868961.077048212] [table_height_estimator]: returned 10
[INFO] [1774868961.249829156] [table_height_estimator]: returned 10
[INFO] [1774868961.408724281] [table_height_estimator]: returned 10
[INFO] [1774868961.594418086] [table_height_estimator]: returned 10
[INFO] [1774868962.293900269] [table_height_estimator]: returned 10
[INFO] [1774868962.465942890] [table_height_estimator]: returned 10
[INFO] [1774868962.642780642] [table_height_estimator]: returned 10
[INFO] [1774868962.851165736] [table_height_estimator]: returned 10
[INFO] [1774868963.072086696] [table_height_estimator]: returned 10
[INFO] [1774868963.224733252] [table_height_estimator]: returned 10
[INFO] [1774868963.404552986] [table_height_estimator]: returned 10
[INFO] [1774868963.558393847] [table_height_estimator]: returned 10
[INFO] [1774868963.731490158] [table_height_estimator]: returned 10
[INFO] [1774868963.906273781] [table_height_estimator]: returned 10
[INFO] [1774868964.055181007] [table_height_estimator]: returned 10
[INFO] [1774868964.234253741] [table_height_estimator]: returned 10
[INFO] [1774868964.415239678] [table_height_estimator]: returned 10
[INFO] [1774868964.599869455] [table_height_estimator]: returned 10
[INFO] [1774868964.744090056] [table_height_estimator]: returned 10
[INFO] [1774868964.924875735] [table_height_estimator]: returned 10
